	eng	kor
13	What can I do for you? How can I smile?	어떻게 해줘 내가 어떻게 웃어줄까
14	Tell me	알려줘
17	The end is just the end	끝은 그냥 끝이야
18	Don’t sugar coat it	포장 하지 마
19	How can we have a good break up?	어떻게 좋게 끝낼 수가 있겠어 우리
20	I’ve never even thought	끝을 생각해
21	About the end	본적도 없는 내게
22	But already, this pain exists in me	이미 아픔이 크게 존재해
23	The blooming flower petals	꺼지는 불씨 속에
24	Are falling into an extinguishing fire	떨어지는 꽃잎들을 피워
25	As if to comfort me	처량한 날 위로하듯
26	But to burn me up at the same time	하면서도 또 나를 애 태워
28	Instead of those words you said each night	항상 똑같은 밤에 찾아오는 인사대신
30	You’re saying goodbye tonight	잘 가 라는 이별을 마주하게 된 이 밤의 시선
31	Your sugar coated words	보기 좋게 포장한 모습
32	Even your tears are a contradiction	떨어지는 눈물까지 모순
33	It’s only me who has to deal with this sadness today	나 혼자만 슬픔을 감당 하게 된 오늘
43	You think you’re the only one in pain	끝까지 너만 아프지
44	That everything happened because of the situation	모든 게 상황 탓이지
45	You think you tried your best	너는 최선을 다 했고
46	This break up is its own fault	이별은 이별 탓이지
47	I’m busy being in pain	난 아프기도 바빠
48	Don’t force me to smile	웃음을 강요 말아
49	All the times I loved you	널 사랑했던 시간
50	That’s not even all of the weight of my burden	그 정도 무게 아냐
51	I’m sure you’ll get over me	너야 뭐 어떻든 뭐
52	But me..	나는 그래
0	I won’t do this anymore, pet peeve	더 이상은 안 해 Pet peeve
2	I thought about it every day	난 떠올리곤 했지 매일
3	A new day, my day, every day I say	새로운 My day Everyday I say
4	I’m gonna strongly walk on my path	당당하게 나만의 길을 걸어가
5	Calmly stepping past my scars, I’ll rise up	덤덤하게 상처를 딛고 일어나
8	No matter what anyone says to me	그 누가 내게 뭐라고 지껄여도
9	Even with a blindfold on, I’ll go on my way	안대를 낀 채로 My way 난 앞으로
10	Go Go Go, I’ll run faster	Go Go Go 더 뛰어가
11	Even if it feels a bit different from before	전 보단 조금은 달리 느껴져도
12	The me inside is still the same	내 안에 난 그대로 그게 나니
18	Wearing clothes I’ve never worn	입어본 적 없는 옷을 걸치고
22	With the side of me that only I know	나만 알고 있는 나의 모습으로 oh
25	You’re giving me a red rose	붉은 장미를 내게 건네
26	That gives off a great scent	좋은 향기를 내뿜으며
27	With a kiss	입을 맞추고
28	Like turning into ash	재가 돼버릴 듯이
29	Underneath the burning sun	타오르는 저 태양 아래
30	My shadow appears	나의 그림자가 생기고
31	Like the moon that embraced the sun	태양을 품어버린 저 달처럼
32	My silhouette is so pretty	나의 실루엣은 너무나도 예쁘고
33	The way people look at me is so new	나를 보는 사람들의 눈빛이 새로워져
34	Everyone is surprised	Everyone이 내게 놀라고
38	Even if it feels a bit different from before	전보단 조금은 달리 느껴져도
51	Don’t you know the new me?	새로워진 나를 모르니
52	You might get hurt if you touch me	만지면 다칠 줄도 모르니
53	So just stay there and watch, now	가만히 넌 지켜봐 Now
55	Why’re you surprised?	너는 뭘 그리도 놀라니
65	With the side of me that only I know	나만 알고 있는 나의 모습으로 Oh
0	When I hold your hand and lock eyes with you	너와 손을 잡고 눈을 맞출 때
1	When I take you home late at night	늦은 밤 집에 널 데려다 줄 때
2	I’m afraid those times will be over so soon	이 시간들이 끝나버릴까 봐 겁이 나
3	Even breathing feels like a waste of time	숨 쉬는 시간조차 아까워
4	The clock hands are so inconsiderate	시곗바늘은 참 눈치도 없지
5	When I blame the clock for no reason	괜히 애꿎은 시계 탓을 할 때
6	You look at me and smile	그런 날 보고 넌 또 방긋 웃지
7	How can I let you go?	이런 널 어떻게 보내
8	I wanna be with you	나는 너와 더 더 더 더 더
9	More more more more	함께 있고 싶어 More More More More
10	I wanna breathe very slowly	아주 천천히 난 숨을 쉴래
11	So I can see you for a long time	널 오래 볼 수 있게
12	Time goes Tick Tock Tock Tock Tock	시간은 Tick Tock Tock Tock Tock
13	For me, it’s only you you you you	나에겐 오직 너 너 너 너 너
14	I wanna hold my breath till I suffocate, girl	숨이 막히도록 숨을 참을래 Girl
15	So I can see you forever	내가 널 영원히 볼 수 있게
16	Time passes so quickly	시간은 참 빠르게 흘러가고
17	I miss the summer already	지나간 여름을 아쉬워하고
18	I still haven’t adjusted	아직도 적응을 못해
19	Though I want to make you feel comfortable	편하게 해 주고픈데
20	When I see you, using the clock hands as an excuse	시곗바늘을 핑계 삼아서 널 볼 때
21	When I talk to you, dragging out more time for no reason	괜히 시간 끌면서 너에게 말 걸 때
22	You look at me and smile	그런 날 보고 또 방긋 웃지
32	Just like how the camera shutter captures us	셔터 안에 놓여져 있는 우리 둘처럼
33	As if everything has stopped	모든 게 멈춰버린 듯이
34	I will be next to you forever	영원토록 네 옆에 있을게
35	I’ll breathe slowly baby	천천히 숨을 쉴게 Baby
36	The more I see you, the more I can’t breathe	너를 볼수록 숨이 점점 막혀와
37	(Can’t breathe)	(막혀와)
38	But I don’t hate this feeling	그런데 난 그 느낌이 싫지가 않아
39	(Don’t hate it)	(싫지 않아)
40	I’ll breathe slowly, baby	천천히 숨을 쉴게 Baby
0	Trusting my body to the moonlight	저 달빛에 몸을 맡겨
1	In this rhythm, my heart gets crushed	리듬 속에 내 심장은 Crush
3	In the thick scent	짙은 향기 속
4	My body is heating up	내 몸이 달아오르게
6	Till the other half of the moon gets filled up	반쪽 달이 꽉 채워 질 때까지
7	Girl Shall we love all right	Girl Shall we love all right all right
8	So I can hold you tighter	좀 더 꽉 안을 수 있게
9	Show me your heart	네 맘을 내게 보여줘
11	I’m embracing the moon	저 달을 감싸
13	I see uh, don’t think any more, just Love Love	I see uh 아무 생각 말고 더 Love Love
14	I see uh, shine on us more, Moonlight	I see uh 우릴 좀 더 밝혀줘 Moonlight
16	Moonlight Yah answer me	Moonlight Yah 대답해줘
18	Our secret hidden in the moonlight	저 달빛 속 감춰진 둘만의
19	Shh	쉿
22	Hold me tight along with the rhythm	리듬에 맞춰 날 꽉 안아줘
23	With your small movements	네 작은 몸짓 들로
24	Hurry and fill me up	어서 나를 채워줘
25	Hurry and call me baby	어서 나를 불러줘 Baby
26	You will never, never know, ever	You will never, never know 절대
27	You won’t know my heart	알지 못해 내 맘이
28	But I’m telling you	말하고 있잖아
43	I’m holding your hand, oh yeah	난 너의 손을 잡고 Oh yeah
44	I wanna steal your heart, oh yeah	네 맘을 훔치고파 Oh yeah
46	I’m holding your hand, Yeah	너의 손을 잡고 Yeah
1	To me who loved, you are Enemy	사랑했던 내게 넌 Enemy
2	Through memory and misfortune, you are more	기억이나 불행으로 넌 더
3	The more I know, you became so cold	알수록 You became so cold
5	I can’t understand your way	이해 안 돼 너의 그 방식
8	Even your hypocritical facial expressions	위선적인 네 표정까지
9	You were like heaven but you slowly turn into hell	You were like heaven but 점점 지옥 속으로
10	With your cold demeanour	차가워진 행동으로
11	Use me as you wish	휘둘러 멋대로 매번
13	If you disappear like this, better better	이대로 사라져 버려도 Better better
15	If this is love, I don’t want it cause	이게 사랑이라면 I don’t want it cause
17	To me who loved, you are enemy	사랑했던 내게 넌 Enemy
23	We promised to be on each other’s side	서로 편이 되어주겠다고 약속했지만
24	You are enemy	넌 Enemy
30	You are Enemy	넌 Enemy
33	The doubtful ending	석연치 못한 끝자락
34	Breaking the silence and struggle more vigorously what	침묵을 깨 더 가열차게 발악 What
35	Impudent hypocrisy	되바라져 갔던 위선
36	The end of it is mirage, and	그 끝은 환영과
37	Go to Hell	Go to 나락
38	I knew it	알면서 왜 이렇게
39	So why did I drag this for so long	질질 끌었는지
40	I look pathetic	한심해 보여 내가
48	I never thought of us becoming enemies but	서로 적이 되는 건 생각조차 못 했지만
1	Shh, yes, that’s right	쉿 그래 옳지
2	You play with me, with your eyes	들었다 놨다 고운 너의 눈빛
3	Gratatata, you already caught me	Gratatata 이미 나를 Catch
4	Your body shakes me baby, as if you’ll call me but won’t	부를 듯 말 듯 Baby 날 흔드는 몸짓
5	Don’t go away, don’t leave	사라져 버리지 마 떠나지 마
6	On this night, the moon crumbles down and my heart aches	달이 부서지는 밤 뼈아픈 맘
7	After you left me	날 두고 떠나간 다음
8	You’ll get over me so easily	그렇게 넌 쉽게 날 지나듯 잊겠지
9	Though I’m in so much pain	내가 이렇게 아픈데도
10	What do I do? It hurts so much	어떡해 어쩌면 좋아 내가 이렇게 아픈데
11	But you’re the only one who can heal me	나를 치료해줄 유일한 너야
12	Come back to me	나에게 돌아와 줘
13	Hey Dr. Bebe (I don’t care if I die)	Hey Dr. 베베 (죽어도 좋아)
14	If only I have you, bebe (I don’t care if I go crazy)	너만 있다면 베베 (미쳐도 좋아)
15	I’m trapped in your walls, trying to get out	너란 벽에 갇혀 몸부림쳐
16	And getting scarred	상처 나도
17	But I can’t escape	벗어날 수 없는 울림
18	Love, Fall, Hurt and Crazy, once again	Love, Fall, Hurt and Crazy 다시 또
19	Love, Fall, Hurt and Crazy, love is	Love, Fall, Hurt and Crazy 사랑은
20	Love, Fall, Hurt and Crazy Hey Dr. Bebe	Love, Fall, Hurt and Crazy Hey Dr. 베베
21	Save me, bebe	구해줘 베베
22	You were my infinite dream like space	우주 같은 무한의 꿈
23	I thought I heard you call	들린듯해 너의 부름
25	Why have I become like this?	내가 왜 이리 지독해져 있을까
26	I need you, you can heal me, doctor	필요해 네가 치료해줘 닥터
27	You gave me love, then acted with vice	사랑 주고 악쓰고
28	You gave me the sickness, then the medicine, it’s crazy	병 주고 약 주고 미치고 그렇다
30	But you’re the only one who can heal me	나를 구원해줄 유일한 너야
42	Picturesque clouds, the blue dreams call out	그림 같은 구름 푸른 꿈의 부름
44	A melody for you, hidden in the darkness	[홍석/신원] 어둠 속에 숨은 널 위한 멜로디
45	Yo don’t even give any excuses	Yo 변명은 마
46	Yeah, because of the wind	Yeah 바람 부는 탓에
47	Your scent	[유토/우석] 너에 대한 향수가
48	Is getting thicker, I’m going crazy	[유토/우석] 점점 짙어져 미치고 그렇다
49	I can only awaken when you call out to me	[진호/후이] Oh 네가 나를 부를 때 깨어나
0	Remember that May night?	5월의 밤 기억해요 
1	That night we first met, that place	우리 처음 만난 밤, 그 자리
2	“Hi, pleased to meet you”	안녕하세요 처음 봬요
3	“Yes, nice to meet you”	그러니까, 반갑네요
4	We didn’t even laugh much	우린 잘 웃지도 않았어
5	We didn’t have much to say	딱히 할 말도 없었어 
6	It started from that moment	그때부터였어
7	To say “I love you”	사랑한다 그 말은
8	To say “You’re beautiful”	아름답다 그 말은
9	It doesn’t come easily	쉽게 꺼낼 수 없죠
10	I know	나 알고 있죠
11	That’s why it was hard	그래서 어려웠죠
12	Love doesn’t come around easily	사랑은 쉽게 찾아오지 않아요
13	It shouldn’t be said so easily	그렇게 쉽게 얘기하면 안 돼요 
14	In that moment, when you are about to leave	그대 날 떠나가려 하는 순간에
15	I won’t hold on, I’ll just say it like this	난 붙잡지 않아요 단지 이렇게 말해요
16	If we had fought a little more	좀 더 다퉜더라면
17	Clashed a little more	부딪혔다면
18	Would we still get butterflies around each other?	우린 아직 설렐까요
19	It’s pointless to say	괜한 말을 해
20	I should have felt it from the beginning	진작 느꼈어야 했어
21	To your third finger,	그대 세 번째 손가락
22	The ring that was moved to	위로 옮겨진 반지를 보고
23	Each of us wishing that we wouldn’t change	변하지 않기로 그렇게 서로 바랐으면서
